timestamp,price,Open,High,Low,Close,Volume,signal
1705590600,98.893,99.194,99.2,98.87,98.894,135265,SignalNone
1705591200,99.072,98.894,99.185,98.825,99.068,89639,SignalNone
1705591800,98.438,99.062,99.095,98.28,98.438,185370,SignalNone
1705592400,98.447,98.439,98.705,98.2,98.448,164032,SignalNone
1705593000,98.278,98.447,98.552,98.1,98.278,131061,SignalNone
1705593600,98.269,98.279,98.434,98.182,98.27,87138,SignalNone
1705594200,98.019,98.27,98.301,97.896,98.016,165065,SignalNone
1705594800,97.706,98.021,98.087,97.1,97.704,453112,SignalNone
1705595400,97.2,97.704,97.894,97.101,97.177,243002,SignalNone
1705596000,96.296,97.173,97.357,96.111,96.295,983429,SignalNone
1705596600,95.332,96.294,96.577,95.254,95.35,780451,SignalNone
1705597200,95.719,95.51,95.83,95.336,95.72,358822,SignalNone
1705597800,94.951,95.72,95.745,94.802,94.953,393868,SignalNone
1705598400,95.309,94.952,95.319,94.55,95.31,384484,SignalNone
1705599000,95.811,95.31,96.071,95.232,95.849,420727,SignalNone
1705599600,95.52,95.849,96.013,95.301,95.521,285678,SignalNone
1705600200,94.917,95.521,95.64,94.745,94.933,238022,SignalNone
1705600800,95.546,94.933,95.6,94.24,95.522,592185,SignalNone
1705601400,94.29,95.522,95.67,94.25,94.292,401681,SignalNone
1705602000,94.799,94.29,94.872,93.556,94.8,716810,SignalNone
1705602600,94.646,94.8,95.083,94.519,94.632,229043,SignalNone
1705603200,95,94.646,95.268,94.488,95,229479,SignalNone
1705603800,94.886,95,95.341,94.513,94.884,218288,SignalNone
1705604400,94.862,94.886,95.073,94.786,94.865,123167,SignalNone
1705605000,94.703,94.872,95.164,94.312,94.704,214791,SignalNone
1705605600,94.182,94.704,94.756,93.891,94.183,263015,SignalNone
1705606200,94.607,94.183,94.9,94.099,94.608,204346,SignalNone
1705606800,94.048,94.608,94.733,93.767,94.049,272305,SignalNone
1705607400,93.698,94.049,94.199,93.383,93.697,264259,SignalNone
1705608000,92.132,93.699,93.904,92.106,92.132,862877,SignalLong
1705608600,93.087,92.345,93.358,92.197,93.151,373857,SignalNone
1705609200,93.163,93.151,93.399,92.825,93.163,226553,SignalNone
1705609800,92.709,93.164,93.357,92.559,92.732,214603,SignalNone
1705610400,93.56,92.734,93.8,92.594,93.551,357969,SignalNone
1705611000,94.381,93.551,94.548,93.551,94.379,531904,SignalNone
1705611600,93.816,94.38,94.738,93.75,93.819,356900,SignalNone
1705612200,94.137,93.775,94.5,93.773,94.136,199859,SignalNone
1705612800,93.823,94.14,94.162,93.547,93.823,210300,SignalNone
1705613400,94.047,93.823,94.278,93.27,94.047,251915,SignalNone
1705614000,94.157,94.048,94.3,93.725,94.15,173261,SignalNone
1705614600,94.365,94.158,94.433,93.973,94.366,161794,SignalNone
1705615200,94.105,94.366,94.401,93.913,94.106,131882,SignalNone
1705615800,93.971,94.105,94.322,93.906,93.971,146468,SignalNone
1705616400,94.006,93.972,94.263,93.825,94.008,115114,SignalNone
1705617000,94.034,94.007,94.289,93.821,94.035,122809,SignalNone
1705617600,94.32,94.044,94.439,93.855,94.321,85769,SignalNone
1705618200,94.615,94.32,94.666,94.272,94.616,94423,SignalNone
1705618800,94.615,94.616,94.863,94.535,94.616,115747,SignalNone
1705619400,94.236,94.615,94.677,94.133,94.237,128235,SignalNone
1705620000,94.53,94.238,94.624,94.053,94.535,108688,SignalNone
1705620600,94.622,94.534,94.776,94.494,94.623,75660,SignalNone
1705621200,94.432,94.622,94.622,94.32,94.433,74308,SignalNone
1705621800,94.372,94.433,94.629,94.322,94.372,66990,SignalNone
1705622400,94.384,94.373,94.43,94.227,94.389,85703,SignalNone
1705623000,94.378,94.389,94.774,94.053,94.378,147324,SignalNone
1705623600,94.127,94.378,94.378,93.819,94.116,193127,SignalNone
1705624200,93.723,94.127,94.176,93.658,93.717,166190,SignalNone
1705624800,94.548,93.711,94.624,93.585,94.549,179986,SignalNone
1705625400,94.624,94.548,94.725,94.435,94.634,114972,SignalShort
1705626000,94.084,94.624,94.636,94.036,94.082,131474,SignalNone
1705626600,93.812,94.082,94.109,93.636,93.814,175171,SignalNone
1705627200,93.62,93.813,93.957,93.3,93.627,174757,SignalNone
1705627800,93.128,93.626,93.716,92.87,93.129,221146,SignalNone
1705628400,93.444,93.129,93.478,92.792,93.447,170362,SignalNone
1705629000,93.405,93.445,93.644,93.203,93.398,104881,SignalNone
1705629600,93.533,93.398,93.83,93.389,93.534,101475,SignalNone
1705630200,93.238,93.533,93.748,93.118,93.239,123748,SignalNone
1705630800,93.406,93.238,93.56,93.18,93.415,85266,SignalNone
1705631400,92.923,93.406,93.611,92.82,92.924,173404,SignalNone
1705632000,92.555,92.923,93.048,92.316,92.569,241798,SignalNone
1705632600,92.659,92.566,92.942,92.364,92.659,187642,SignalNone
1705633200,92.538,92.66,92.973,92.472,92.541,149977,SignalNone
1705633800,92.729,92.539,92.733,92.26,92.729,168089,SignalNone
1705634400,92.4,92.728,92.854,92.023,92.391,168673,SignalNone
1705635000,91.844,92.397,92.456,91.589,91.85,293381,SignalLong
1705635600,92.355,91.849,92.542,91.465,92.352,460863,SignalNone
1705636200,92.754,92.355,93.153,92.293,92.747,217011,SignalNone
1705636800,93.088,92.748,93.276,92.748,93.089,125532,SignalNone
1705637400,92.942,93.088,93.392,92.932,92.954,148039,SignalNone
1705638000,93.417,92.945,93.416,92.854,93.412,100645,SignalNone
1705638600,93.367,93.417,93.599,93.269,93.367,140006,SignalNone
1705639200,93.609,93.368,93.773,93.283,93.607,151289,SignalNone
1705639800,93.655,93.608,94.022,93.6,93.655,159912,SignalNone
1705640400,93.774,93.655,94,93.616,93.774,63457,SignalNone
1705641000,93.89,93.774,93.982,93.437,93.891,116969,SignalNone
1705641600,94.098,93.891,94.439,93.86,94.107,178075,SignalNone
1705642200,94.092,94.098,94.239,94.012,94.092,84785,SignalNone
1705642800,93.94,94.092,94.321,93.904,93.94,63857,SignalNone
1705643400,93.935,93.94,94.049,93.74,93.935,90078,SignalNone
1705644000,94.062,93.935,94.09,93.897,94.063,37001,SignalNone
